                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.88303,                 1.2549,                0.66508,                0.90429,                0.82046,                0.85342,                0.90634,                0.68619,                0.82683,                0.84367,                0.90824,                0.62272,                0.92249,                 1.3127,                0.71533,                0.91657,              0.0013246,              0.0013246,              0.0013246
                     86,                0.86763,                 1.2499,                0.65117,                0.90404,                0.78818,                0.85615,                0.89887,                0.68497,                0.85715,                0.80104,                 0.9076,                0.63723,                0.89737,                 1.2426,                0.69976,                0.91937,              0.0013204,              0.0013204,              0.0013204
                     87,                0.83355,                 1.1467,                0.61971,                0.87585,                0.80189,                0.85012,                0.88879,                0.66613,                0.81358,                 0.8606,                0.89922,                0.60877,                0.93353,                 1.3176,                0.74732,                0.92469,              0.0013163,              0.0013163,              0.0013163
                     88,                0.86581,                 1.2624,                0.64533,                0.89124,                0.80044,                0.84753,                0.88656,                0.67009,                 0.8104,                0.84892,                 0.8944,                0.62111,                0.93762,                 1.3886,                  0.747,                0.92588,              0.0013122,              0.0013122,              0.0013122
                     89,                0.87888,                 1.3352,                0.62916,                0.89488,                0.77922,                0.90874,                0.89141,                0.69806,                0.84661,                0.83068,                0.89487,                0.61957,                0.87263,                 1.3109,                0.71314,                0.91131,              0.0013081,              0.0013081,              0.0013081
                     90,                0.85411,                 1.2466,                0.63743,                0.89788,                0.82521,                0.87431,                0.89643,                0.69022,                0.83419,                0.88517,                 0.9052,                0.61962,                0.92321,                 1.4094,                0.71244,                0.91778,              0.0013039,              0.0013039,              0.0013039
                     91,                0.89726,                 1.2631,                0.63925,                0.88984,                0.87785,                0.83068,                0.90789,                0.68586,                0.90141,                0.81734,                0.90863,                0.64684,                0.89662,                 1.2665,                0.66463,                0.91694,              0.0012998,              0.0012998,              0.0012998
                     92,                0.81191,                 1.1874,                0.60919,                0.87298,                0.86895,                 0.7903,                0.89882,                0.68406,                0.88283,                0.79692,                0.90235,                0.62391,                0.91382,                 1.3356,                0.70986,                0.91996,              0.0012957,              0.0012957,              0.0012957
                     93,                0.85883,                 1.2175,                0.64661,                0.88066,                0.86444,                0.82229,                0.89648,                0.69789,                0.86444,                0.82229,                0.88876,                0.63671,                 0.8536,                  1.307,                0.69027,                0.91354,              0.0012915,              0.0012915,              0.0012915
                     94,                0.84844,                 1.2334,                0.63463,                0.88596,                  0.862,                0.81748,                0.88966,                 0.6809,                0.87118,                0.81661,                0.89615,                0.64333,                 0.8986,                 1.2872,                 0.7412,                0.91515,              0.0012874,              0.0012874,              0.0012874
                     95,                0.83753,                 1.2191,                0.62033,                0.88736,                0.85532,                0.80665,                 0.8801,                0.68718,                0.85764,                0.81027,                 0.8806,                0.62332,                0.85578,                 1.2736,                0.74701,                0.91175,              0.0012833,              0.0012833,              0.0012833
